Temp,Humid,Wind_Spd,Vis,Press,Weather
15.3,61,16,32.2,100.82,Mostly Cloudy
14,73,13,32.2,100.88,Clear
11.8,88,7,32.2,100.91,Mainly Clear
11,86,10,32.2,100.99,Mainly Clear
10.4,88,5,32.2,101.11,Mainly Clear
13,82,22,32.2,101.22,Mostly Cloudy
15.6,71,31,32.2,101.28,Mainly Clear
17.6,58,26,32.2,101.34,Mainly Clear
17.9,60,17,32.2,101.38,Mainly Clear
14.8,72,14,32.2,101.45,Mainly Clear
14.2,70,17,32.2,101.57,Mostly Cloudy
14.2,75,23,32.2,101.71,Cloudy
13.2,75,14,32.2,101.83,Cloudy
13.7,73,14,32.2,101.93,Mostly Cloudy
16,54,13,32.2,102.04,Mostly Cloudy
17,46,11,32.2,102.08,Mainly Clear
16.2,53,16,32.2,102.06,Mostly Cloudy
15.3,58,11,32.2,102,Mostly Cloudy
13.5,68,17,24.1,101.98,Mostly Cloudy
11.6,86,19,24.1,101.88,Rain
11.6,84,22,24.1,101.84,Rain
11.5,83,25,24.1,101.77,Rain
10.9,88,18,16.1,101.71,Rain
10.8,90,19,16.1,101.68,Moderate Rain
10.8,90,16,6.4,101.63,"Rain,Fog"
10.7,94,17,19.3,101.61,Rain
10.9,91,20,4.8,101.63,"Rain,Fog"
11,90,22,12.9,101.64,Rain
11.3,91,21,9.7,101.63,"Rain,Fog"
12,91,22,4.8,101.66,"Rain,Fog"
12.1,93,18,4.8,101.69,"Rain,Fog"
12.6,92,19,6.4,101.71,"Rain,Fog"
13.2,92,17,6.4,101.75,"Rain,Fog"
13.8,93,12,9.7,101.79,"Rain Showers,Fog"
13.9,95,8,12.9,101.88,Rain Showers
14.1,95,11,24.1,101.88,Cloudy
13.9,95,8,24.1,102.01,Cloudy
12.9,94,14,24.1,102.04,Cloudy
12.9,94,16,24.1,101.98,Cloudy
13.5,94,10,12.9,101.93,Rain Showers
14.3,93,10,24.1,101.92,Mostly Cloudy
14.8,88,17,32.2,101.89,Rain Showers
14.4,92,14,4,101.89,"Rain Showers,Fog"
14.7,93,10,6.4,101.88,"Rain Showers,Fog"
17.5,79,15,32.2,101.81,Cloudy
19.4,74,10,32.2,101.71,Mostly Cloudy
18.7,71,5,32.2,101.63,Cloudy
14.7,94,8,32.2,101.73,Cloudy
15.6,89,7,32.2,101.67,Cloudy
14.2,92,10,32.2,101.68,Cloudy
14.6,87,8,24.1,101.72,Cloudy
15.2,83,14,32.2,101.74,Cloudy
19.1,64,24,32.2,101.78,Mostly Cloudy
18.7,64,16,32.2,101.76,Mostly Cloudy
17.4,66,11,32.2,101.68,Mostly Cloudy
13.9,85,4,32.2,101.65,Mostly Cloudy
14.8,83,9,32.2,101.52,Cloudy
13.7,91,8,16.1,101.39,Rain
13.8,93,1,16.1,101.37,Rain
13.5,95,9,16.1,101.37,Rain
13.4,96,8,12.9,101.35,Moderate Rain
13.5,94,2,6.4,101.35,"Rain,Fog"
13.5,94,4,6.4,101.36,"Rain,Fog"
13.3,96,20,9.7,101.45,"Moderate Rain,Fog"
13.6,92,17,16.1,101.5,Rain
13.7,91,12,16.1,101.55,Rain
14.8,85,18,32.2,101.59,Mostly Cloudy
15.8,69,23,32.2,101.6,Mostly Cloudy
13.3,80,21,32.2,101.57,Mostly Cloudy
12.7,88,12,32.2,101.55,Cloudy
12.4,89,13,32.2,101.53,Rain
11.9,92,10,32.2,101.36,Cloudy
11.3,94,7,32.2,101.3,Rain
12.6,90,7,19.3,101.25,Cloudy
14.6,76,16,24.1,101.23,Cloudy
14.3,75,11,32.2,101.19,Cloudy
15.3,71,11,32.2,101.2,Cloudy
14,76,14,32.2,101.24,Mostly Cloudy
12.9,82,7,32.2,101.26,Mostly Cloudy
11.8,84,11,32.2,101.26,Mostly Cloudy
11.9,86,8,32.2,101.32,Cloudy
11.9,86,5,32.2,101.35,Rain
12.1,83,4,32.2,101.4,Rain
13.2,83,15,24.1,101.44,Rain
14.5,70,8,32.2,101.46,Mostly Cloudy
16.6,59,15,32.2,101.52,Mostly Cloudy
17.3,60,21,32.2,101.53,Mostly Cloudy
15,66,18,32.2,101.47,Mostly Cloudy
13.7,73,16,24.1,101.41,Mostly Cloudy
13,77,15,24.1,101.22,Cloudy
12.3,81,18,32.2,101.12,Cloudy
12.2,84,17,32.2,101.11,Rain
12.2,86,15,32.2,101.1,Rain
12.5,85,17,32.2,101.1,Rain
12.5,85,15,32.2,101.08,Rain
13,84,13,32.2,101.09,Rain
13.1,84,13,19.3,101.11,Rain
13.1,83,19,32.2,101.1,Rain
12.9,89,16,9.7,101.15,"Moderate Rain,Fog"
12.5,93,10,4.8,101.17,"Rain,Fog"
13.1,94,12,9.7,101.19,"Rain,Fog"
13.9,92,11,19.3,101.19,Rain
13.5,91,15,32.2,101.25,Rain
12.8,90,14,24.1,101.29,Mostly Cloudy
11.4,94,14,24.1,101.35,Mostly Cloudy
11,92,10,24.1,101.43,Mostly Cloudy
10.7,91,12,24.1,101.54,Mostly Cloudy
12.6,82,10,32.2,101.69,Mainly Clear
14.6,78,15,32.2,101.85,Mostly Cloudy
17.1,71,21,32.2,101.89,Mostly Cloudy
17.8,66,22,32.2,101.9,Clear
16.2,70,12,32.2,101.96,Clear
13.8,74,8,24.1,102.1,Mainly Clear
11.9,82,10,24.1,102.19,Clear
10.9,87,8,32.2,102.3,Mainly Clear
14.5,79,15,32.2,102.4,Mainly Clear
17.6,66,12,32.2,102.49,Mainly Clear
20.4,55,14,32.2,102.46,Mainly Clear
20.1,59,18,32.2,102.39,Mainly Clear
18.7,62,7,32.2,102.35,Cloudy
14.5,79,17,32.2,102.41,Mainly Clear
12.2,87,13,32.2,102.42,Mainly Clear
11,89,10,32.2,102.45,Mostly Cloudy
14.9,73,7,32.2,102.43,Mainly Clear
17.2,76,13,32.2,102.31,Mainly Clear
18.8,71,13,32.2,102.16,Mostly Cloudy
19.4,62,9,32.2,101.95,Mainly Clear
19.2,63,5,32.2,101.8,Mostly Cloudy
16.3,76,1,32.2,101.74,Mostly Cloudy
14.7,82,9,32.2,101.66,Mainly Clear
14.2,83,10,32.2,101.59,Mostly Cloudy
17,73,9,32.2,101.55,Mostly Cloudy
21.3,56,15,32.2,101.44,Mostly Cloudy
21.5,66,21,32.2,101.33,Mostly Cloudy
20.7,56,7,32.2,101.21,Cloudy
18.2,78,9,24.1,101.19,Rain
17.4,84,3,24.1,101.17,Rain
17.4,87,10,19.3,101.18,Rain
15.9,92,5,24.1,101.14,Rain
16.6,95,7,32.2,101.11,Cloudy
16.2,96,7,24.1,101.17,Rain
16.3,96,9,9.7,101.23,"Moderate Rain,Fog"
17,96,12,9.7,101.26,"Rain,Fog"
16.7,95,10,6.4,101.29,"Moderate Rain,Fog"
16.6,95,13,16.1,101.31,Rain
17,93,12,9.7,101.32,"Rain,Fog"
18,89,11,24.1,101.38,Cloudy
19.5,81,14,32.2,101.39,Mostly Cloudy
17.6,92,15,32.2,101.36,Cloudy
15.8,95,15,32.2,101.44,Mostly Cloudy
15.3,90,12,32.2,101.5,Cloudy
14,92,18,32.2,101.63,Cloudy
15.2,87,13,32.2,101.76,Cloudy
17.5,77,10,32.2,101.96,Mostly Cloudy
20,55,13,32.2,102.02,Mainly Clear
20.1,53,14,32.2,102.04,Mainly Clear
17.8,59,20,32.2,102.07,Clear
14.2,76,16,32.2,102.15,Mainly Clear
12.6,83,18,32.2,102.2,Clear
11.7,85,17,32.2,102.24,Mostly Cloudy
14.5,75,18,32.2,102.31,Mostly Cloudy
19.4,58,8,32.2,102.34,Mostly Cloudy
19.4,62,7,32.2,102.28,Mostly Cloudy
21.1,59,13,32.2,102.16,Mostly Cloudy
17.2,84,17,32.2,102.02,Mainly Clear
15.8,91,14,24.1,101.94,Mainly Clear
15.6,87,8,24.1,101.88,Mainly Clear
15.2,91,5,24.1,101.83,Mostly Cloudy
16.5,90,8,24.1,101.79,Rain
17.4,91,9,32.2,101.78,Rain
19.9,76,5,32.2,101.71,Mostly Cloudy
19.6,77,8,32.2,101.62,Cloudy
19.3,84,11,32.2,101.62,Rain
19.7,82,11,32.2,101.51,Mostly Cloudy
20.5,87,10,32.2,101.36,Rain
18.6,88,11,32.2,101.31,Mostly Cloudy
16.8,95,5,24.1,101.19,Rain
16.9,96,22,24.1,101.19,Rain
16.6,97,21,24.1,101.18,Rain
17.4,96,2,24.1,101.15,Rain
17.4,97,9,24.1,101.14,Rain
16.7,96,9,24.1,101.15,Rain
16.9,98,9,9.7,101.17,Fog
17.5,96,15,9.7,101.18,Fog
16.9,97,16,4.8,101.22,Fog
19,80,20,19.3,101.29,Mostly Cloudy
18.6,86,9,32.2,101.42,Mostly Cloudy
20.7,76,13,32.2,101.44,Mainly Clear
18.6,82,12,32.2,101.46,Mainly Clear
16.2,92,8,32.2,101.61,Mainly Clear
14.3,95,8,32.2,101.7,Mainly Clear
15.8,89,18,32.2,101.78,Cloudy
15.8,88,24,32.2,101.92,Mostly Cloudy
18.8,78,21,32.2,101.9,Mostly Cloudy
19.4,79,14,32.2,101.83,Mainly Clear
20.8,73,10,32.2,101.71,Mainly Clear
18.3,74,1,32.2,101.6,Cloudy
17.3,73,4,32.2,101.65,Clear
15.5,89,10,32.2,101.67,Clear
14.5,88,8,32.2,101.66,Mostly Cloudy
16,71,16,32.2,101.69,Mostly Cloudy
18.8,67,17,32.2,101.64,Mostly Cloudy
18.8,80,10,32.2,101.6,Cloudy
17.6,85,2,32.2,101.47,Rain
18,76,5,24.1,101.4,Cloudy
16.2,92,7,32.2,101.4,Mostly Cloudy
14.9,95,11,32.2,101.34,Mainly Clear
15.9,86,23,32.2,101.32,Cloudy
16.6,77,27,32.2,101.28,Mostly Cloudy
16.5,74,30,32.2,101.3,Mostly Cloudy
17.4,66,22,32.2,101.3,Mostly Cloudy
17.1,70,17,32.2,101.2,Mostly Cloudy
15.9,74,9,32.2,101.12,Rain
15.7,79,6,32.2,101.1,Cloudy
13.6,91,5,32.2,101.02,Cloudy
13.1,93,17,32.2,100.99,Cloudy
11.7,94,5,32.2,101.09,Mainly Clear
13.6,90,9,32.2,101.17,Cloudy
17.2,74,25,32.2,101.13,Mainly Clear
19,68,17,32.2,101.13,Mainly Clear
20.5,69,17,32.2,101.01,Mainly Clear
19.4,72,9,32.2,101.01,Mainly Clear
15.9,77,16,24.1,101.18,Clear
15,82,4,24.1,101.3,Mainly Clear
13.8,82,9,48.3,101.38,Clear
17.1,73,11,32.2,101.5,Mainly Clear
20,63,12,32.2,101.45,Clear
20.9,67,17,32.2,101.33,Mostly Cloudy
21.6,63,20,32.2,101.22,Mainly Clear
20.1,65,15,32.2,101.12,Mostly Cloudy
16.4,82,19,24.1,101.11,Mostly Cloudy
14.8,82,29,24.1,101.17,Mostly Cloudy
14.5,82,21,24.1,101.2,Cloudy
13.7,90,14,24.1,101.26,Rain
15.2,84,5,32.2,101.33,Mostly Cloudy
16.8,67,10,32.2,101.35,Mostly Cloudy
18.4,65,17,32.2,101.33,Mostly Cloudy
16.9,68,18,32.2,101.32,Mostly Cloudy
14.6,79,17,24.1,101.31,Mostly Cloudy
9.1,86,10,32.2,101.9,Mainly Clear
8.8,85,5,32.2,101.9,Mostly Cloudy
11.9,75,8,32.2,102.03,Mostly Cloudy
15.2,67,10,32.2,102.11,Mainly Clear
16.2,69,18,32.2,102.13,Mainly Clear
18,53,13,32.2,102.12,Clear
15.7,63,16,32.2,102.14,Clear
13.1,74,16,24.1,102.22,Clear
11.6,77,16,24.1,102.23,Mainly Clear
11.2,79,23,24.1,102.12,Mostly Cloudy
12.5,75,18,32.2,102.13,Mostly Cloudy
13.7,78,14,24.1,102.19,Rain
12.9,73,7,9.7,102.16,"Rain,Fog"
11.9,75,9,12.9,102.18,Rain
11.1,82,7,6.4,102.27,"Moderate Rain,Fog"
11.9,81,15,32.2,102.29,Rain
14.1,70,7,32.2,102.31,Mostly Cloudy
13.3,71,11,24.1,102.3,Mostly Cloudy
12,79,8,24.1,102.39,Mostly Cloudy
10.4,88,3,24.1,102.37,Mostly Cloudy
10.4,88,5,24.1,102.29,Mostly Cloudy
13,82,8,32.2,102.35,Mostly Cloudy
15.4,79,13,32.2,102.27,Mostly Cloudy
15.7,73,14,32.2,102.15,Mostly Cloudy
15.2,69,9,32.2,102,Mostly Cloudy
13.9,86,11,32.2,101.9,Mostly Cloudy
13,83,4,32.2,101.86,Mostly Cloudy
11.1,89,12,32.2,101.78,Mostly Cloudy
11.5,86,18,32.2,101.75,Cloudy
12.2,83,15,32.2,101.82,Rain Showers
13.2,87,16,24.1,101.88,Rain
14.7,77,13,32.2,101.89,Mostly Cloudy
17.9,51,16,32.2,101.8,Mostly Cloudy
17.6,56,20,32.2,101.68,Mainly Clear
15.5,63,10,32.2,101.54,Mostly Cloudy
12.6,76,5,32.2,101.4,Mainly Clear
11.8,81,1,32.2,101.19,Mostly Cloudy
9.7,86,3,32.2,100.98,Mostly Cloudy
13.2,77,5,32.2,100.87,Mostly Cloudy
15.8,78,20,32.2,100.71,Mostly Cloudy
16.8,71,18,32.2,100.58,Mostly Cloudy
15.7,76,18,32.2,100.53,Mostly Cloudy
14.4,81,7,32.2,100.54,Cloudy
12.2,82,2,32.2,100.56,Mostly Cloudy
12.4,90,9,32.2,100.56,Cloudy
11.8,90,12,19.3,100.62,"Thunderstorms,Rain Showers"
10.8,89,19,24.1,100.79,Rain Showers
10.9,90,25,24.1,100.83,Rain Showers
11.4,92,18,12.9,100.84,Rain Showers
13.1,82,16,24.1,100.81,Rain Showers
16.4,59,10,32.2,100.77,Mostly Cloudy
15.3,61,16,32.2,100.82,Mostly Cloudy
14,73,13,32.2,100.88,Clear
11.8,88,7,32.2,100.91,Mainly Clear
11,86,10,32.2,100.99,Mainly Clear
10.4,88,5,32.2,101.11,Mainly Clear
13,82,22,32.2,101.22,Mostly Cloudy
15.6,71,31,32.2,101.28,Mainly Clear
17.6,58,26,32.2,101.34,Mainly Clear
17.9,60,17,32.2,101.38,Mainly Clear
14.8,72,14,32.2,101.45,Mainly Clear
14.2,70,17,32.2,101.57,Mostly Cloudy
14.2,75,23,32.2,101.71,Cloudy
13.2,75,14,32.2,101.83,Cloudy
13.7,73,14,32.2,101.93,Mostly Cloudy
16,54,13,32.2,102.04,Mostly Cloudy
17,46,11,32.2,102.08,Mainly Clear
16.2,53,16,32.2,102.06,Mostly Cloudy
15.3,58,11,32.2,102,Mostly Cloudy
13.5,68,17,24.1,101.98,Mostly Cloudy
11.6,86,19,24.1,101.88,Rain
11.6,84,22,24.1,101.84,Rain
11.5,83,25,24.1,101.77,Rain
10.9,88,18,16.1,101.71,Rain
10.8,90,19,16.1,101.68,Moderate Rain
10.8,90,16,6.4,101.63,"Rain,Fog"
10.7,94,17,19.3,101.61,Rain
10.9,91,20,4.8,101.63,"Rain,Fog"
11,90,22,12.9,101.64,Rain
11.3,91,21,9.7,101.63,"Rain,Fog"
12,91,22,4.8,101.66,"Rain,Fog"
12.1,93,18,4.8,101.69,"Rain,Fog"
12.6,92,19,6.4,101.71,"Rain,Fog"
13.2,92,17,6.4,101.75,"Rain,Fog"
13.8,93,12,9.7,101.79,"Rain Showers,Fog"
13.9,95,8,12.9,101.88,Rain Showers
14.1,95,11,24.1,101.88,Cloudy
13.9,95,8,24.1,102.01,Cloudy
12.9,94,14,24.1,102.04,Cloudy
12.9,94,16,24.1,101.98,Cloudy
13.5,94,10,12.9,101.93,Rain Showers
14.3,93,10,24.1,101.92,Mostly Cloudy
14.8,88,17,32.2,101.89,Rain Showers
14.4,92,14,4,101.89,"Rain Showers,Fog"
14.7,93,10,6.4,101.88,"Rain Showers,Fog"
17.5,79,15,32.2,101.81,Cloudy
19.4,74,10,32.2,101.71,Mostly Cloudy
18.7,71,5,32.2,101.63,Cloudy
14.7,94,8,32.2,101.73,Cloudy
15.6,89,7,32.2,101.67,Cloudy
14.2,92,10,32.2,101.68,Cloudy
14.6,87,8,24.1,101.72,Cloudy
15.2,83,14,32.2,101.74,Cloudy
19.1,64,24,32.2,101.78,Mostly Cloudy
18.7,64,16,32.2,101.76,Mostly Cloudy
17.4,66,11,32.2,101.68,Mostly Cloudy
13.9,85,4,32.2,101.65,Mostly Cloudy
14.8,83,9,32.2,101.52,Cloudy
13.7,91,8,16.1,101.39,Rain
13.8,93,1,16.1,101.37,Rain
13.5,95,9,16.1,101.37,Rain
13.4,96,8,12.9,101.35,Moderate Rain
13.5,94,2,6.4,101.35,"Rain,Fog"
13.5,94,4,6.4,101.36,"Rain,Fog"
13.3,96,20,9.7,101.45,"Moderate Rain,Fog"
13.6,92,17,16.1,101.5,Rain
13.7,91,12,16.1,101.55,Rain
14.8,85,18,32.2,101.59,Mostly Cloudy
15.8,69,23,32.2,101.6,Mostly Cloudy
13.3,80,21,32.2,101.57,Mostly Cloudy
12.7,88,12,32.2,101.55,Cloudy
12.4,89,13,32.2,101.53,Rain
11.9,92,10,32.2,101.36,Cloudy
11.3,94,7,32.2,101.3,Rain
12.6,90,7,19.3,101.25,Cloudy
14.6,76,16,24.1,101.23,Cloudy
14.3,75,11,32.2,101.19,Cloudy
15.3,71,11,32.2,101.2,Cloudy
14,76,14,32.2,101.24,Mostly Cloudy
12.9,82,7,32.2,101.26,Mostly Cloudy
11.8,84,11,32.2,101.26,Mostly Cloudy
11.9,86,8,32.2,101.32,Cloudy
11.9,86,5,32.2,101.35,Rain
12.1,83,4,32.2,101.4,Rain
13.2,83,15,24.1,101.44,Rain
14.5,70,8,32.2,101.46,Mostly Cloudy
16.6,59,15,32.2,101.52,Mostly Cloudy
17.3,60,21,32.2,101.53,Mostly Cloudy
15,66,18,32.2,101.47,Mostly Cloudy
13.7,73,16,24.1,101.41,Mostly Cloudy
13,77,15,24.1,101.22,Cloudy
12.3,81,18,32.2,101.12,Cloudy
12.2,84,17,32.2,101.11,Rain
12.2,86,15,32.2,101.1,Rain
12.5,85,17,32.2,101.1,Rain
12.5,85,15,32.2,101.08,Rain
13,84,13,32.2,101.09,Rain
13.1,84,13,19.3,101.11,Rain
13.1,83,19,32.2,101.1,Rain
12.9,89,16,9.7,101.15,"Moderate Rain,Fog"
12.5,93,10,4.8,101.17,"Rain,Fog"
13.1,94,12,9.7,101.19,"Rain,Fog"
13.9,92,11,19.3,101.19,Rain
13.5,91,15,32.2,101.25,Rain
12.8,90,14,24.1,101.29,Mostly Cloudy
11.4,94,14,24.1,101.35,Mostly Cloudy
11,92,10,24.1,101.43,Mostly Cloudy
10.7,91,12,24.1,101.54,Mostly Cloudy
12.6,82,10,32.2,101.69,Mainly Clear
14.6,78,15,32.2,101.85,Mostly Cloudy
17.1,71,21,32.2,101.89,Mostly Cloudy
17.8,66,22,32.2,101.9,Clear
16.2,70,12,32.2,101.96,Clear
13.8,74,8,24.1,102.1,Mainly Clear
11.9,82,10,24.1,102.19,Clear
10.9,87,8,32.2,102.3,Mainly Clear
14.5,79,15,32.2,102.4,Mainly Clear
17.6,66,12,32.2,102.49,Mainly Clear
20.4,55,14,32.2,102.46,Mainly Clear
20.1,59,18,32.2,102.39,Mainly Clear
18.7,62,7,32.2,102.35,Cloudy
14.5,79,17,32.2,102.41,Mainly Clear
12.2,87,13,32.2,102.42,Mainly Clear
11,89,10,32.2,102.45,Mostly Cloudy
14.9,73,7,32.2,102.43,Mainly Clear
17.2,76,13,32.2,102.31,Mainly Clear
18.8,71,13,32.2,102.16,Mostly Cloudy
19.4,62,9,32.2,101.95,Mainly Clear
19.2,63,5,32.2,101.8,Mostly Cloudy
16.3,76,1,32.2,101.74,Mostly Cloudy
14.7,82,9,32.2,101.66,Mainly Clear
14.2,83,10,32.2,101.59,Mostly Cloudy
17,73,9,32.2,101.55,Mostly Cloudy
21.3,56,15,32.2,101.44,Mostly Cloudy
21.5,66,21,32.2,101.33,Mostly Cloudy
20.7,56,7,32.2,101.21,Cloudy
18.2,78,9,24.1,101.19,Rain
17.4,84,3,24.1,101.17,Rain
17.4,87,10,19.3,101.18,Rain
15.9,92,5,24.1,101.14,Rain
16.6,95,7,32.2,101.11,Cloudy
16.2,96,7,24.1,101.17,Rain
16.3,96,9,9.7,101.23,"Moderate Rain,Fog"
17,96,12,9.7,101.26,"Rain,Fog"
16.7,95,10,6.4,101.29,"Moderate Rain,Fog"
16.6,95,13,16.1,101.31,Rain
17,93,12,9.7,101.32,"Rain,Fog"
18,89,11,24.1,101.38,Cloudy
19.5,81,14,32.2,101.39,Mostly Cloudy
17.6,92,15,32.2,101.36,Cloudy
15.8,95,15,32.2,101.44,Mostly Cloudy
15.3,90,12,32.2,101.5,Cloudy
14,92,18,32.2,101.63,Cloudy
15.2,87,13,32.2,101.76,Cloudy
17.5,77,10,32.2,101.96,Mostly Cloudy
20,55,13,32.2,102.02,Mainly Clear
20.1,53,14,32.2,102.04,Mainly Clear
17.8,59,20,32.2,102.07,Clear
14.2,76,16,32.2,102.15,Mainly Clear
12.6,83,18,32.2,102.2,Clear
11.7,85,17,32.2,102.24,Mostly Cloudy
14.5,75,18,32.2,102.31,Mostly Cloudy
19.4,58,8,32.2,102.34,Mostly Cloudy
19.4,62,7,32.2,102.28,Mostly Cloudy
21.1,59,13,32.2,102.16,Mostly Cloudy
17.2,84,17,32.2,102.02,Mainly Clear
15.8,91,14,24.1,101.94,Mainly Clear
15.6,87,8,24.1,101.88,Mainly Clear
15.2,91,5,24.1,101.83,Mostly Cloudy
16.5,90,8,24.1,101.79,Rain
17.4,91,9,32.2,101.78,Rain
19.9,76,5,32.2,101.71,Mostly Cloudy
19.6,77,8,32.2,101.62,Cloudy
19.3,84,11,32.2,101.62,Rain
19.7,82,11,32.2,101.51,Mostly Cloudy
20.5,87,10,32.2,101.36,Rain
18.6,88,11,32.2,101.31,Mostly Cloudy
16.8,95,5,24.1,101.19,Rain
16.9,96,22,24.1,101.19,Rain
16.6,97,21,24.1,101.18,Rain
17.4,96,2,24.1,101.15,Rain
17.4,97,9,24.1,101.14,Rain
16.7,96,9,24.1,101.15,Rain
16.9,98,9,9.7,101.17,Fog
17.5,96,15,9.7,101.18,Fog
16.9,97,16,4.8,101.22,Fog
19,80,20,19.3,101.29,Mostly Cloudy
18.6,86,9,32.2,101.42,Mostly Cloudy
20.7,76,13,32.2,101.44,Mainly Clear
18.6,82,12,32.2,101.46,Mainly Clear
16.2,92,8,32.2,101.61,Mainly Clear
14.3,95,8,32.2,101.7,Mainly Clear
15.8,89,18,32.2,101.78,Cloudy
15.8,88,24,32.2,101.92,Mostly Cloudy
18.8,78,21,32.2,101.9,Mostly Cloudy
19.4,79,14,32.2,101.83,Mainly Clear
20.8,73,10,32.2,101.71,Mainly Clear
18.3,74,1,32.2,101.6,Cloudy
17.3,73,4,32.2,101.65,Clear
15.5,89,10,32.2,101.67,Clear
14.5,88,8,32.2,101.66,Mostly Cloudy
16,71,16,32.2,101.69,Mostly Cloudy
18.8,67,17,32.2,101.64,Mostly Cloudy
18.8,80,10,32.2,101.6,Cloudy
17.6,85,2,32.2,101.47,Rain
18,76,5,24.1,101.4,Cloudy
16.2,92,7,32.2,101.4,Mostly Cloudy
14.9,95,11,32.2,101.34,Mainly Clear
15.9,86,23,32.2,101.32,Cloudy
16.6,77,27,32.2,101.28,Mostly Cloudy
16.5,74,30,32.2,101.3,Mostly Cloudy
17.4,66,22,32.2,101.3,Mostly Cloudy
17.1,70,17,32.2,101.2,Mostly Cloudy
15.9,74,9,32.2,101.12,Rain
15.7,79,6,32.2,101.1,Cloudy
13.6,91,5,32.2,101.02,Cloudy
13.1,93,17,32.2,100.99,Cloudy
11.7,94,5,32.2,101.09,Mainly Clear
13.6,90,9,32.2,101.17,Cloudy
17.2,74,25,32.2,101.13,Mainly Clear
19,68,17,32.2,101.13,Mainly Clear
20.5,69,17,32.2,101.01,Mainly Clear
19.4,72,9,32.2,101.01,Mainly Clear
15.9,77,16,24.1,101.18,Clear
15,82,4,24.1,101.3,Mainly Clear
13.8,82,9,48.3,101.38,Clear
17.1,73,11,32.2,101.5,Mainly Clear
20,63,12,32.2,101.45,Clear
20.9,67,17,32.2,101.33,Mostly Cloudy
21.6,63,20,32.2,101.22,Mainly Clear
20.1,65,15,32.2,101.12,Mostly Cloudy
16.4,82,19,24.1,101.11,Mostly Cloudy
14.8,82,29,24.1,101.17,Mostly Cloudy
14.5,82,21,24.1,101.2,Cloudy
13.7,90,14,24.1,101.26,Rain
15.2,84,5,32.2,101.33,Mostly Cloudy
16.8,67,10,32.2,101.35,Mostly Cloudy
18.4,65,17,32.2,101.33,Mostly Cloudy
16.9,68,18,32.2,101.32,Mostly Cloudy
14.6,79,17,24.1,101.31,Mostly Cloudy
9.1,86,10,32.2,101.9,Mainly Clear
8.8,85,5,32.2,101.9,Mostly Cloudy
11.9,75,8,32.2,102.03,Mostly Cloudy
15.2,67,10,32.2,102.11,Mainly Clear
16.2,69,18,32.2,102.13,Mainly Clear
18,53,13,32.2,102.12,Clear
15.7,63,16,32.2,102.14,Clear
13.1,74,16,24.1,102.22,Clear
11.6,77,16,24.1,102.23,Mainly Clear
11.2,79,23,24.1,102.12,Mostly Cloudy
12.5,75,18,32.2,102.13,Mostly Cloudy
13.7,78,14,24.1,102.19,Rain
12.9,73,7,9.7,102.16,"Rain,Fog"
